-------------------------------------------------------------------------- 
outputResultsMethod: outputAllSearchResultsOnChange
Match criteria is: df[(df["Model"].str.contains("XSE")) & (df["Pre-Sold"] == False) & (df["Hold Status"].isin(["Available", None, "", "DealerHold"])) & ((df["Markup"] <= 1000) & ((df["Selling Price"].isin([None])) | (df["Selling Price"] <= (df["Total MSRP"] + 1000)) )) & (df["Dealer State"].isin(["IA", "IL", "IN", "MO", "WI", "MN", "KS", "NE", "ND"])) & ( df["Options"].str.contains("Premium Package") & df["Options"].str.contains("Weather Package"))]
Username: ghgemmer
The following list of matching units was found on: 2024-11-10 21:51:04. Central Standard Time
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53088	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-10	eta.currToDate: 	2024-11-27	VIN: 	JTMFB3FV2RD229682	Dealer: 	Lewis Toyota of Hays	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53408	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-07	eta.currToDate: 	2025-01-10	VIN: 	JTMFB3FV5RD234083	Dealer: 	Burnsville Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Premium Package | Protection Package[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52249	Selling Price: 	0.0	Markup: 	395	Dealer Price: 	47955	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-06	eta.currToDate: 	2025-01-05	VIN: 	JTMFB3FV6RD233086	Dealer: 	Corwin Toyota of Bellevue	Dealer State: 	NE	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Premium Package | Pulse Safety System | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52728	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-11	eta.currToDate: 	2024-11-25	VIN: 	JTMFB3FV7RD228818	Dealer: 	Coad Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53129	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-03	eta.currToDate: 	2025-01-02	VIN: 	JTMFB3FV7RD232769	Dealer: 	Pauly Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Supersonic Red/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	53887	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-10	eta.currToDate: 	2024-11-20	VIN: 	JTMFB3FV8RD229864	Dealer: 	Bill Estes Toyota	Dealer State: 	IN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52938	Selling Price: 	52938.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-07	eta.currToDate: 	2025-01-09	VIN: 	JTMFB3FV8RD232750	Dealer: 	Tom Pappas Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52399	Selling Price: 	52399.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	Available	eta.currFromDate: 	2024-11-19	eta.currToDate: 	2024-12-08	VIN: 	JTMFB3FV9RD232191	Dealer: 	Toyota of Muscatine	Dealer State: 	IA	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Premium Package | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	54212	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	At dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-11	eta.currToDate: 	2024-11-11	VIN: 	JTMFB3FVXRD228151	Dealer: 	Jerry Ackerman Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Running Boards[installed_msrp] | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	52824	Selling Price: 	52824.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Port to dealer	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-11-14	eta.currToDate: 	2024-12-11	VIN: 	JTMFB3FVXRD231065	Dealer: 	Chicago Northside Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Premium Package | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	54576	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-06	eta.currToDate: 	2025-01-05	VIN: 	JTMFB3FVXRD233429	Dealer: 	Crown Toyota	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
2024-11-10 21:51:04. Central Standard Time:,   ***ADDED Unit Details ->	Year: 	2024	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47560	Total MSRP: 	54637	Selling Price: 	55637.0	Markup: 	0	Dealer Price: 	47560	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	Available	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-19	VIN: 	JTMFB3FVXRD233950	Dealer: 	Twin City Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Premium Package | Running Boards[installed_msrp] | Special Color | Weather Package
