-------------------------------------------------------------------------- 
outputResultsMethod: outputAllSearchResultsOnChange
Match criteria is: df[(df["Model"].str.contains("XSE")) & (df["Pre-Sold"] == False) & (df["Hold Status"].isin(["Available", None, "", "DealerHold"])) & ((df["Markup"] <= 1000) & ((df["Selling Price"].isin([None])) | (df["Selling Price"] <= (df["Total MSRP"] + 1000)) )) & (df["Dealer State"].isin(["IA", "IL", "IN", "MO", "WI", "MN", "KS", "NE", "ND"])) & ( df["Options"].str.contains("Premium Package") & df["Options"].str.contains("Weather Package"))]
Username: ghgemmer
The following list of matching units was found on: 2024-12-06 06:53:35. Central Standard Time
2024-12-06 06:53:35. Central Standard Time:,   ***MODED Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53553	Selling Price: 	53553.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-30	eta.currToDate: 	2025-03-07	VIN: 	JTMFB3FV0S149CF67	Dealer: 	Joe Machens Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package	Names Of Modified Fields: eta.currFromDate :: None --> 2025-01-30 || eta.currToDate :: None --> 2025-03-07 || 
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53192	Selling Price: 	53192.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	Available	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-22	VIN: 	JTMFB3FV0SD234871	Dealer: 	Bommarito Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53159	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-21	VIN: 	JTMFB3FV3SD235657	Dealer: 	Olathe Toyota	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54003	Selling Price: 	54003.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-04	eta.currToDate: 	2025-02-13	VIN: 	JTMFB3FV3SD235822	Dealer: 	Mills Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Cross Bars[installed_msrp] | Premium Package | Premium Paint | Protection Package[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54007	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-15	eta.currToDate: 	2025-01-12	VIN: 	JTMFB3FV3SD235996	Dealer: 	Victory Toyota of Midtown	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Supersonic Red/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53139	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-11	eta.currToDate: 	2025-02-18	VIN: 	JTMFB3FV3SD238025	Dealer: 	Rochester Toyota	Dealer State: 	MN	Options: 	50 State Emissions | Carpet Mat Package[installed_msrp] | Fog Light Accent[installed_msrp] | Owner's Portfolio | Premium Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53842	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-15	eta.currToDate: 	2025-01-13	VIN: 	JTMFB3FV4SD235229	Dealer: 	Pauly Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs & Door Cups[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53018	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-18	eta.currToDate: 	2025-01-21	VIN: 	JTMFB3FV4SD235649	Dealer: 	Jerry Ackerman Toyota	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs & Door Cups[installed_msrp] | Premium Package | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53332	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-08	eta.currToDate: 	2025-02-08	VIN: 	JTMFB3FV4SD236591	Dealer: 	Jay Wolfe Toyota of West County	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Silver Sky Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53143	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-03	eta.currToDate: 	2025-02-10	VIN: 	JTMFB3FV4SD236610	Dealer: 	Rudy Luther Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Premium Package | Protection Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54217	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-07	eta.currToDate: 	2025-02-06	VIN: 	JTMFB3FV4SD236946	Dealer: 	Crown Toyota	Dealer State: 	KS	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Cross Bars[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53468	Selling Price: 	53468.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	2025-01-11	eta.currToDate: 	2025-02-16	VIN: 	JTMFB3FV4SD237904	Dealer: 	Carlson Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53559	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-16	eta.currToDate: 	2025-02-18	VIN: 	JTMFB3FV4SD238244	Dealer: 	Pauly Toyota	Dealer State: 	IL	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53223	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	None	eta.currToDate: 	None	VIN: 	JTMFB3FV4SD238941	Dealer: 	Dan Deery Toyota	Dealer State: 	IA	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cross Bars[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54167	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-15	eta.currToDate: 	2025-01-14	VIN: 	JTMFB3FV5SD235417	Dealer: 	Bill Estes Toyota	Dealer State: 	IN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Blueprint/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	52445	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-22	eta.currToDate: 	2025-02-25	VIN: 	JTMFB3FV5SD236597	Dealer: 	Corwin Toyota of Bellevue	Dealer State: 	NE	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | First Aid Kit[installed_msrp] | Premium Package | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53468	Selling Price: 	53468.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	None	eta.currFromDate: 	None	eta.currToDate: 	None	VIN: 	JTMFB3FV6SD238732	Dealer: 	Carlson Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Wind Chill Pearl/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	54167	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2024-12-15	eta.currToDate: 	2025-01-15	VIN: 	JTMFB3FV7SD235662	Dealer: 	Fort Wayne Toyota	Dealer State: 	IN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	53762	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-03	eta.currToDate: 	2025-02-08	VIN: 	JTMFB3FV7SD236360	Dealer: 	Burnsville Toyota	Dealer State: 	MN	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Weather Package
2024-12-06 06:53:35. Central Standard Time:,            Unit Details ->	Year: 	2025	Model: 	XSE AWD	Color: 	Magnetic Gray Metallic/Midnight Black Metallic Roof	Base MSRP: 	47735	Total MSRP: 	52594	Selling Price: 	0.0	Markup: 	0	Dealer Price: 	47735	Shipping Status: 	Factory to port	Pre-Sold: 	False	Hold Status: 	DealerHold	eta.currFromDate: 	2025-01-07	eta.currToDate: 	2025-02-04	VIN: 	JTMFB3FV7SD237735	Dealer: 	Molle Toyota, Inc.	Dealer State: 	MO	Options: 	50 State Emissions | All-Weather Liner Package[installed_msrp] | Fog Light Accent[installed_msrp] | Premium Package | Weather Package
